Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume MXN,RRR,Rentabilidad,RR,,
1505865600,20/09/2017,ETHMXN,5233.93,5324.8,5080,5180,419.78,2174812.22,12.84720568,12.85%,,,
1505779200,19/09/2017,ETHMXN,5450,5499.97,5005.01,5233.93,1381.23,7277670.73,15.64330343,15.64%,,,
1505692800,18/09/2017,ETHMXN,4783.88,5450,4782.11,5450,3328.18,17591542.51,-20.01454248,-20.01%,,,
1505606400,17/09/2017,ETHMXN,4900,4929.99,4617,4783.88,555.62,2653070.2,20.8991757,20.90%,,,
1505520000,16/09/2017,ETHMXN,5079.99,5247.76,4700.95,4900,1126.63,5640540.95,15.97596371,15.98%,,,
1505433600,15/09/2017,ETHMXN,4051,5204.99,3800,5079.99,5587.56,25696431.5,-18.41573066,-18.42%,,,
1505347200,14/09/2017,ETHMXN,5050,5193.83,3900,4051,4847.57,21349270.65,20.60826352,20.61%,,,
1505260800,13/09/2017,ETHMXN,5320.02,5393.94,4600,5050,5761.6,28619604.19,4.686545404,4.69%,,,
1505174400,12/09/2017,ETHMXN,5720,5870.98,5320.01,5320.02,2005.93,11253161.6,19.93987826,19.94%,,,
1505088000,11/09/2017,ETHMXN,5744.57,5850,5600,5720,1385.03,7873881.91,1.773968795,1.77%,,,
1505001600,10/09/2017,ETHMXN,5732.13,5845.76,5620,5744.57,489.27,2791731.18,-2.542563411,-2.54%,,,
1504915200,09/09/2017,ETHMXN,5843.95,5897,5700,5732.13,493.12,2853705.45,22.67602206,22.68%,,,
1504828800,08/09/2017,ETHMXN,6245,6245,5619,5843.95,2549.45,14955550.58,15.73084391,15.73%,,,
1504742400,07/09/2017,ETHMXN,6228,6329.98,6043.01,6245,1541.38,9502419.3,-1.102907784,-1.10%,,,
1504656000,06/09/2017,ETHMXN,6198.84,6400,6010.15,6228,2317.68,14491538.61,-1.258154706,-1.26%,,,
1504569600,05/09/2017,ETHMXN,5998.99,6345.61,5500,6198.84,3114.97,18434667.01,-6.415792126,-6.42%,,,
1504483200,04/09/2017,ETHMXN,6505.99,6505.99,5330.03,5998.99,6192.46,35732049.77,8.187376261,8.19%,,,
1504396800,03/09/2017,ETHMXN,6289.81,6698,6201,6505.99,1262.16,8124449.48,-17.12778095,-17.13%,,,
1504310400,02/09/2017,ETHMXN,7114,7129.99,5900,6289.81,4890.77,31340331.89,16.85194765,16.85%,,,
1504224000,01/09/2017,ETHMXN,6900,7250,6900,7114,1883.42,13303632.68,-11.36230899,-11.36%,,,
1504137600,31/08/2017,ETHMXN,6855,7000,6740,6900,1811.44,12486543.56,-2.484211456,-2.48%,,,
1504051200,30/08/2017,ETHMXN,6575,6950.97,6450,6855,1938.17,13124730.31,-14.44661717,-14.45%,,,
1503964800,29/08/2017,ETHMXN,6165,6648.99,6102.01,6575,2900.65,18510983.18,-14.1347629,-14.13%,,,
1503878400,28/08/2017,ETHMXN,6000,6170,5900,6165,1575.65,9550736.9,-10.47186875,-10.47%,,,
