Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume MXN,RRR,Rentabilidad,RR,,
1554163200,02/04/2019,BTCMXN,76400.06,95000,76400,91510,525.88,45842329.26,-28.73267666,-28.73%,,,
1554076800,01/04/2019,BTCMXN,75487.76,76900,75005,76400.06,232.66,17639039.72,-3.921172526,-3.92%,,,
1552953600,19/03/2019,BTCMXN,76126.99,76220,75667.96,75818.5,9.97,758556.05,30.94182548,30.94%,,,
1552867200,18/03/2019,BTCMXN,76116.08,76700,75200.02,76126.99,127.53,9689656.58,-0.085548498,-0.09%,,,
1552780800,17/03/2019,BTCMXN,76690.1,76699.99,75500.02,76116.08,73.24,5592676.1,7.837520481,7.84%,,,
1552694400,16/03/2019,BTCMXN,74895.98,77054.06,74519.95,76690.1,145.32,11051716.9,-12.34599505,-12.35%,,,
1552608000,15/03/2019,BTCMXN,74073,75000,74020,74895.98,164.68,12263453.7,-4.997449599,-5.00%,,,
1552521600,14/03/2019,BTCMXN,74058.61,75100,74020.01,74073,160.3,11926630.63,-0.089769183,-0.09%,,,
1552435200,13/03/2019,BTCMXN,74830,75487,74001,74058.61,198.04,14806305.76,3.895122198,3.90%,,,
1552348800,12/03/2019,BTCMXN,74400,75297.36,73190.01,74830,208.02,15513380.2,-2.067108932,-2.07%,,,
1552262400,11/03/2019,BTCMXN,76298.66,76500,74100.1,74400,180.5,13522636.28,10.51889197,10.52%,,,
1552176000,10/03/2019,BTCMXN,75871.31,76499.99,75400.01,76298.66,65.01,4935486.58,-6.573604061,-6.57%,,,
1552089600,09/03/2019,BTCMXN,75299.9,76685.02,74604.65,75871.31,150.85,11441125.65,-3.787935035,-3.79%,,,
1552003200,08/03/2019,BTCMXN,75517.98,76677.84,73700,75299.9,184.78,14008391.39,1.180214309,1.18%,,,
1551916800,07/03/2019,BTCMXN,74650,76239.99,74015,75517.98,214.25,16117852.69,-4.051248541,-4.05%,,,
1551830400,06/03/2019,BTCMXN,74490,74978.99,73100.07,74650,194.64,14454670.01,-0.822030415,-0.82%,,,
1551744000,05/03/2019,BTCMXN,71400.83,74500,71187.73,74490,211.51,15559933.95,-14.60531417,-14.61%,,,
1551657600,04/03/2019,BTCMXN,73307.28,74298.99,71100.02,71400.83,176.99,12790158.78,10.77151251,10.77%,,,
1551571200,03/03/2019,BTCMXN,73999.97,74358.87,73100.01,73307.28,96.69,7136405.04,7.164029372,7.16%,,,
1551484800,02/03/2019,BTCMXN,73150,74150,72550.07,73999.97,190.3,13976758.08,-4.466473988,-4.47%,,,
1551398400,01/03/2019,BTCMXN,72500,74000,72007.02,73150,136.55,9986210.31,-4.760161113,-4.76%,,,
1551312000,28/02/2019,BTCMXN,71238.21,73645.86,71238.21,72500,174.51,12590933.46,-7.230473898,-7.23%,,,
1551225600,27/02/2019,BTCMXN,71688.99,71813.16,70300,71238.21,186.21,13292955.29,2.420815209,2.42%,,,
1551139200,26/02/2019,BTCMXN,71875.55,72199.96,70702,71688.99,114.92,8204030.45,1.623390184,1.62%,,,
1551052800,25/02/2019,BTCMXN,71200.12,73300,70700.02,71875.55,152.42,10958170.68,-4.431373835,-4.43%,,,
1550966400,24/02/2019,BTCMXN,76500,78165,70500,71200.12,132.24,9790034.71,40.07773745,40.08%,,,
1550880000,23/02/2019,BTCMXN,73543.4,77936,73500,76500,184.28,13938265.65,-16.04406338,-16.04%,,,
1550793600,22/02/2019,BTCMXN,73465.02,74590,73300.02,73543.4,151.4,11183926.89,-0.517701453,-0.52%,,,
1550707200,21/02/2019,BTCMXN,74165.79,74800,73250.02,73465.02,162.76,12053682.43,4.305541902,4.31%,,,
1550620800,20/02/2019,BTCMXN,73310,74899.99,72500.01,74165.79,201.67,14899801.8,-4.243516636,-4.24%,,,
1550534400,19/02/2019,BTCMXN,73646,75400.64,73044.35,73310,238.58,17682975.65,1.408332635,1.41%,,,
1550448000,18/02/2019,BTCMXN,68900.56,75000,68893.33,73646,160.4,11585621.41,-29.58503741,-29.59%,,,
1550361600,17/02/2019,BTCMXN,68843.03,69200,68200,68900.56,60.05,4123756.01,-0.958034971,-0.96%,,,
1550275200,16/02/2019,BTCMXN,67540.82,68986.86,67500.01,68843.03,91.19,6226550.03,-14.28018423,-14.28%,,,
1550188800,15/02/2019,BTCMXN,66500,68799.99,66466.06,67540.82,295.31,19977739.44,-3.524499678,-3.52%,,,
1550102400,14/02/2019,BTCMXN,67785.06,68500,66202.68,66500,175.25,11780917.56,7.332724679,7.33%,,,
1550016000,13/02/2019,BTCMXN,67979.71,68796.78,67550,67785.06,180.66,12302266.51,1.077438282,1.08%,,,
1549929600,12/02/2019,BTCMXN,68303.01,68999.99,67800.01,67979.71,169.58,11589666.12,1.90647482,1.91%,,,
1549843200,11/02/2019,BTCMXN,69347.4,69347.4,67747,68303.01,119.85,8200295.58,8.714142678,8.71%,,,
1549756800,10/02/2019,BTCMXN,68320.05,69347.4,67601.06,69347.4,72.44,4950071.48,-14.18208172,-14.18%,,,
1549670400,09/02/2019,BTCMXN,68999.99,68999.99,67900,68320.05,107.72,7356935.7,6.312105459,6.31%,,,
1549584000,08/02/2019,BTCMXN,64242.21,69899.97,63503.01,68999.99,264.79,17679737.58,-17.96812568,-17.97%,,,
1549497600,07/02/2019,BTCMXN,64021.65,64938.23,63710.01,64242.21,164.2,10545614.5,-1.343239951,-1.34%,,,
1549411200,06/02/2019,BTCMXN,64944.07,65249,63614.39,64021.65,195.04,12546761.55,4.729388843,4.73%,,,
1549324800,05/02/2019,BTCMXN,65764.99,66097.4,64787.01,64944.07,179.19,11711639.71,4.581282438,4.58%,,,
1549238400,04/02/2019,BTCMXN,65927.86,66199.99,65150,65764.99,77.52,5081020.22,2.101006192,2.10%,,,
1549152000,03/02/2019,BTCMXN,66500,66700,65000.89,65927.86,61.27,4045310.5,9.338012078,9.34%,,,
1549065600,02/02/2019,BTCMXN,65999.9,66500,65315.11,66500,93.8,6188602.78,-5.331556503,-5.33%,,,
1548979200,01/02/2019,BTCMXN,65050.1,66372.28,64800,65999.9,142.12,9324158.26,-6.683084717,-6.68%,,,
1548892800,31/01/2019,BTCMXN,66131.18,66300.88,64751,65050.1,146.46,9600141.24,7.381401065,7.38%,,,
1548806400,30/01/2019,BTCMXN,65219.83,67099.99,64540.02,66131.18,156.75,10318736.85,-5.814035088,-5.81%,,,
1548720000,29/01/2019,BTCMXN,65555,65849.99,64000.9,65219.83,151.2,9800555.18,2.216732804,2.22%,,,
1548633600,28/01/2019,BTCMXN,67500,67756.61,65000.01,65555,155.73,10263017.68,12.48956527,12.49%,,,
1548547200,27/01/2019,BTCMXN,68444,68444,67300,67500,53.51,3624599.79,17.64156232,17.64%,,,
1548460800,26/01/2019,BTCMXN,67400,69199.86,67272.8,68444,129.11,8800117.09,-8.086128108,-8.09%,,,
1548374400,25/01/2019,BTCMXN,67781.04,68277.98,67000.01,67400,120.09,8101548.42,3.172953618,3.17%,,,
1548288000,24/01/2019,BTCMXN,67650,68449.35,67000.01,67781.04,253.09,17101280.8,-0.51776048,-0.52%,,,
1548201600,23/01/2019,BTCMXN,68873.98,69500,67207.12,67650,168.22,11480750.54,7.276067055,7.28%,,,
1548115200,22/01/2019,BTCMXN,67893.09,69500,67000.01,68873.98,130.81,8979850.85,-7.498585735,-7.50%,,,
1548028800,21/01/2019,BTCMXN,68598.58,70108.99,67561.27,67893.09,186.18,12747075.42,3.789289934,3.79%,,,
1547942400,20/01/2019,BTCMXN,71303.98,71396.99,68000,68598.58,73.7,5095570.43,36.7082768,36.71%,,,
1547856000,19/01/2019,BTCMXN,69735.03,71800,69012.12,71303.98,118.25,8341121.73,-13.26807611,-13.27%,,,
1547769600,18/01/2019,BTCMXN,69465.94,69779,68511.84,69735.03,206.83,14315537.05,-1.301020161,-1.30%,,,
1547683200,17/01/2019,BTCMXN,68230,70000,67850.01,69465.94,160.45,11060925.11,-7.702960424,-7.70%,,,
1547596800,16/01/2019,BTCMXN,69000,69900.1,68000.01,68230,220.33,15161763.03,3.494757863,3.49%,,,
1547510400,15/01/2019,BTCMXN,70595.88,70780,68001,69000,186.77,12965158.9,8.544627081,8.54%,,,
1547424000,14/01/2019,BTCMXN,68683.33,71499.99,67634.48,70595.88,191.09,13323237.07,-10.00863467,-10.01%,,,
1547337600,13/01/2019,BTCMXN,70300,70800,67566.13,68683.33,100.24,6908882.84,16.12799282,16.13%,,,
1547251200,12/01/2019,BTCMXN,69709.38,70980.84,69649.8,70300,133.5,9404634.59,-4.42411985,-4.42%,,,
1547164800,11/01/2019,BTCMXN,69605,72990,69005.12,69709.38,148.72,10474264.8,-0.701855836,-0.70%,,,
1547078400,10/01/2019,BTCMXN,77350,78240.65,68575.14,69605,244.85,17733479.93,31.63161119,31.63%,,,
1546992000,09/01/2019,BTCMXN,77500.91,78499.99,76900,77350,100.58,7793418.34,1.500397693,1.50%,,,
1546905600,08/01/2019,BTCMXN,77010.83,79399.99,76443.83,77500.91,149.17,11586069.74,-3.285379098,-3.29%,,,
1546819200,07/01/2019,BTCMXN,78286.99,78499.99,77000,77010.83,116.11,9019860.73,10.99095685,10.99%,,,
1546732800,06/01/2019,BTCMXN,74500,79200,73625,78286.99,133.66,10279307.28,-28.33300913,-28.33%,,,
1546646400,05/01/2019,BTCMXN,74723.1,75436,73500,74500,107.22,7999771.98,2.080768513,2.08%,,,
1546560000,04/01/2019,BTCMXN,74100,74992.99,72901,74723.1,141.1,10401911.39,-4.416017009,-4.42%,,,
